IT8.7/2
ORIGINATOR "Eastman Kodak Company"
DESCRIPTOR "Q60R1, IT8.7/2 Data Files, 5x7 inch Ektacolor"
CREATED  "SEPTEMBER 29,1997"
MANUFACTURER " Eastman Kodak Company"
PROD_DATE "1997:08 "
SERIAL  "1997:08 BATCH AVERAGE DATA"
MATERIAL "Ektacolor Product Family"
KEYWORD "MEAN_DE" # Mean Delta E of samples compared to batch average
#
# STDEV_DE in this data set is the average of the standard deviations of
# L*, a* and b*.  It is used to derive an estimate of the chi-squared
# parameter which is recommended as the predictor of the variability of
# DELTAE.  SEE FILE ON THIS DISK CALLED CHI-SQ.*
#
NUMBER_OF_FIELDS 12
BEGIN_DATA_FORMAT
SAMPLE_ID XYZ_X XYZ_Y XYZ_Z LAB_L LAB_A LAB_B STDEV_X STDEV_Y STDEV_Z
    MEAN_DE STDEV_DE
END_DATA_FORMAT
NUMBER_OF_SETS  264
BEGIN_DATA
#ID    X      Y      Z      L      A      B    S_X   S_Y   S_Z   M_DE  S_DE
K05  16.36  14.86  16.54  45.44  11.92 -11.10  0.42  0.34  0.51  0.82  0.50
K06  18.11  14.43  19.68  44.84  24.07 -19.12  0.39  0.30  0.50  0.72  0.44
K07  20.07  13.97  23.40  44.19  36.86 -27.62  0.40  0.29  0.44  0.61  0.36
K08  22.41  14.43  26.08  44.84  45.14 -31.33  0.38  0.26  0.35  0.50  0.29
K09  42.01  41.35  38.73  70.42   6.55  -6.42  0.65  0.57  0.71  0.65  0.40
K10  44.88  41.95  42.37  70.83  13.20 -10.44  0.60  0.53  0.65  0.58  0.35
K11  47.22  42.04  45.97  70.89  19.57 -14.74  0.54  0.49  0.53  0.49  0.29
K12  49.12  42.37  47.70  71.13  23.76 -16.38  0.49  0.46  0.45  0.44  0.27
K13  11.59  18.63  34.04  50.25 -38.76 -34.66  0.25  0.34  0.39  0.42  0.24
K14  25.34  13.73  22.80  43.85  62.31 -27.08  0.23  0.15  0.23  0.28  0.18
K15  53.67  50.29   4.46  76.25  13.66  83.42  0.36  0.40  0.16  0.64  0.39
K16   1.73   1.80   1.60  14.37  -0.12  -1.30  0.09  0.08  0.09  0.65  0.41
